Seed_species,file_name,Control_Colony,groupID,Chamber,total_SA,Darea_1,D_area2,D_area3,D_area4,D_area5,Included_good_areas,Sum_damage,Seed_damage_percent,notes1,notes2
Zan,ZaEk_SAR944_chamber1_1,SAR944,7,Chamber1,12.504,5.679,,,,,,5.679,45.417,this would be a good one to use an image of,
Zan,ZaEk_SAR944_chamber1_2,SAR944,8,Chamber1,8.528,0.028,,,,,,0.028,0.328,,
Zan,ZaEk_SAR944_chamber1_3,SAR944,9,Chamber1,8.589,5.838,,,,,,5.838,67.971,also a good one to have an image of,
Zan,ZaEk_SAR944_chamber1_4,SAR944,10,Chamber1,9.8,3.661,0.037,,,,0.401,3.297,33.643,,
Zan,ZaEk_SAR944_chamber1_5,SAR944,11,Chamber1,9.945,1.632,0.077,,,,,1.709,17.185,,
Zan,ZaEk_SAR944_chamber1_6,SAR944,12,Chamber1,7.827,2.594,0.161,0.055,,,,2.81,35.901,,
Zan,ZaEk_SAR944_chamber2_1,SAR944,13,Chamber2,10.885,1.33,0.386,0.048,0.014,,,1.778,16.334,,
Zan,ZaEk_SAR944_chamber2_2,SAR944,14,Chamber2,9.009,2.709,,,,,,2.709,30.070,,
Zan,ZaEk_SAR944_chamber2_3,SAR944,15,Chamber2,9.848,0.34,0.253,0.033,,,,0.626,6.357,,
Zan,ZaEk_SAR944_chamber2_4,SAR944,16,Chamber2,8.288,2.826,,,,,,2.826,34.097,,
Zan,ZaEk_SAR944_chamber2_5,SAR944,17,Chamber2,10.641,1.662,0.82,0.055,,,,2.537,23.842,,
Zan,ZaEk_SAR944_chamber2_6,SAR944,18,Chamber2,10.645,3.666,0.028,,,,,3.694,34.702,,
Zan,ZaEk_SAR944_unknown_pieces_1,SAR944,19,Unknown,10.154,2.414,0.193,0.078,0.021,,,2.706,26.650,,
Zan,ZaEk_SAR945_chamber2_1,SAR945,20,Chamber2,9.225,7.771,0.03,,,,,7.801,84.564,had to draw the seed outline because too much wax on it,might also be a good one with a photo
Zan,ZaEk_SAR945_chamber2_2,SAR945,21,Chamber2,9.664,1.338,0.065,0.036,,,,1.439,14.890,this one is a bit difficult because of the wax on it,had to draw the seed outline because too much wax on it
